P_S03_SerialNumber,P_S03_InvItemId,P_S03_Suvinventorycode,P_S03_Pallet,P_S03_Cage,P_S03_Tote,P_S03_ItemID,P_S03_LocatorID
20168520100157,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20311520100259,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20349520100726,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
78B8D69327ED,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20114520100478,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20005520100060,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20178520100948,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21266520100407,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20142520100076,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21112520100528,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S23300525100274,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21123520101909,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20044520100173,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20002523020701,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19354520100691,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20219520100446,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S19221523020264,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21147520101923,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20070520101077,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20006520100260,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21008520101054,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21162520101487,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20219520100134,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S19220523022017,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20184520101282,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21153523023496,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21215520100005,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20185520101140,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20350520101087,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20142520100229,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21180520101169,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20183520100647,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S19236523020434,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20022520100513,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20185520100111,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20181520101063,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21008520100982,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20076520100041,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20181520101173,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21146520101322,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20135520101353,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21075520101070,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21166520101907,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21148520102203,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21172520100651,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21077520100996,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21226520101283,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20181520101038,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21077520101331,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21124520100323,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20193520100679,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20006520100523,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21183520100665,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21175520102642,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21106520101253,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21105520100740,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21104520101153,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19241523021802,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
21132520100098,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20189520101096,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20009520100693,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20126520100275,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19220523021017,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20184520101117,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21226520101662,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21186520100019,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20111520100839,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20034520101132,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21106520100275,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19362523021571,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20003523020058,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20009520100718,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21145520100862,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21232520101120,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21179520100659,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21015520101591,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20115520101072,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21015520101583,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19242523020357,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20246520100103,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19359520100333,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
19359523020652,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20310520101130,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20128520100651,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20272520100123,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20136520100287,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20072520101087,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20258520101343,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20074520100820,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S20118520100137,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
20177520100599,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21238520101285,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21069522503862,4260,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S21173524200745,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100006825,773207
S22143522507776,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
S21072522504044,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
S22139522506236,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
S21161522508888,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
S20150522509203,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
1935010780,24062,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
1901910390,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100011917,773207
9904550278,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810408,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935110809,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935110815,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810366,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810081,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810136,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1934910351,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810378,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116211081,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1934910729,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010618,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010180,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904661700,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904658405,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904661559,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904658697,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610209,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610347,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904661645,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2035310115,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904658648,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610359,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810146,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010639,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010615,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116211098,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010238,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1934910719,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010315,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904661152,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904661964,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610508,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904658548,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9904662537,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1934910604,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1934910371,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010741,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610084,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010360,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9920009609,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9920009546,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
9903610519,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010448,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901910173,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010437,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810166,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810424,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010391,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116110312,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210016,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810169,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116310123,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935110038,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810260,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810082,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116211102,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810086,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010398,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116110396,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901910412,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210375,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010721,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210339,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810579,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810412,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2029010131,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2029010162,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810097,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2035410513,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810564,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810290,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010707,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010527,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210031,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810299,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810140,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810253,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010453,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810368,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116110687,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210824,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810438,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010499,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810180,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810483,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810351,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010434,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210378,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810441,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010696,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1931710291,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935110024,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2035210185,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116110794,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810372,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010090,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2035410497,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810079,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810577,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010484,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2029310053,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010461,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010502,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010470,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810056,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010069,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935110816,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010392,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810148,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116110676,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810425,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1935010726,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210308,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010293,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2016810099,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210032,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
1901810246,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2116210546,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2014010423,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
2029010137,5663,Missing,RAD1 RMA Missing,RAD1 RMA Missing,0,100002554,773207
